"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
2490,"Limosa","fedoa",4503.89253262607,1483.28121102314,"Complete","long","Yes",429.2,-0.54,2.09,"Limosa fedoa","Limosa_fedoa",80,100,"Invertebrate",7.439255425,"CHARADRIIFORMES",1483.28121102314
2730,"Charadrius","vociferus",5862.07408335883,182.508070819206,"Partial","long","Yes",45.8,-0.57,5.33,"Charadrius vociferus","Charadrius_vociferus",100,90,"Invertebrate",3.924036198,"CHARADRIIFORMES",182.508070819206
2250,"Recurvirostra","americana",1036.25638927066,7219.99431238853,"Partial","short","Yes",101.6,0.3,1.39,"Recurvirostra americana","Recurvirostra_americana",50,80,"Invertebrate",4.550597019,"CHARADRIIFORMES",7219.99431238853
2260,"Himantopus","mexicanus",6844.56584854331,3431.64331488591,"Partial","long","Yes",24.1,1.1,2.05,"Himantopus mexicanus","Himantopus_mexicanus",100,100,"Invertebrate",5.599142123,"CHARADRIIFORMES",3431.64331488591
3600,"Falco","sparverius",3612.93016962271,335.896148667428,"Partial","short","Yes",18.6,-1.41,0.88,"Falco sparverius","Falco_sparverius",50,60,"Invertebrate",2.406436894,"FALCONIFORMES",335.896148667428
3550,"Falco","mexicanus",1083.73260639563,1795.43353815624,"Partial","long","Yes",28.1,1.15,0.07,"Falco mexicanus","Falco_mexicanus",70,100,"VertFishScav",4.373662855,"FALCONIFORMES",1795.43353815624
3560,"Falco","peregrinus",851.559549083898,2586.05004444257,"Partial","short","No",21.4,2.17,0.01,"Falco peregrinus","Falco_peregrinus",20,80,"VertFishScav",5.712366517,"FALCONIFORMES",2586.05004444257
4480,"Tyrannus","vociferans",2553.54317135658,3709.65558661,"Partial","short","Yes",39.2,-0.14,4.55,"Tyrannus vociferans","Tyrannus_vociferans",80,80,"Invertebrate",2.724748003,"PASSERIFORMES",3709.65558661
4470,"Tyrannus","verticalis",1401.17714541012,483.082712492906,"Complete","short","Yes",45,-0.13,8.38,"Tyrannus verticalis","Tyrannus_verticalis",40,90,"Invertebrate",2.646492858,"PASSERIFORMES",483.082712492906
4430,"Tyrannus","forficatus",777.298469231251,500.470594134501,"Complete","long","Yes",38,-1.03,14.24,"Tyrannus forficatus","Tyrannus_forficatus",60,60,"Invertebrate",2.346737821,"PASSERIFORMES",500.470594134501
4540,"Myiarchus","cinerascens",2873.95703300019,1388.94469223218,"Partial","long","No",33.5,0.71,8.36,"Myiarchus cinerascens","Myiarchus_cinerascens",70,70,"Invertebrate",2.989367065,"PASSERIFORMES",1388.94469223218
6280,"Vireo","flavifrons",2002.17965732972,667.429634295584,"Complete","long","No",20.7,0.9,0.84,"Vireo flavifrons","Vireo_flavifrons",50,70,"Invertebrate",2.352781493,"PASSERIFORMES",667.429634295584
6220,"Lanius","ludovicianus",10657.2561220531,495.137028286994,"Partial","long","No",7497,-2.56,1.47,"Lanius ludovicianus","Lanius_ludovicianus",80,70,"Invertebrate",2.274961807,"PASSERIFORMES",495.137028286994
